Date,Backtest 60 min vol
09/2004,23613.82148272759
10/2004,23575.288771880456
11/2004,23964.456554215518
12/2004,23983.79135231013
01/2005,24400.376155048783
02/2005,24828.47799367651
03/2005,24959.396318837345
04/2005,24731.021912985932
05/2005,25985.57951960012
06/2005,27007.05573249415
07/2005,27537.736814611188
08/2005,27613.1899092576
09/2005,28511.443131838823
10/2005,27847.138551226206
11/2005,28994.520220923114
12/2005,29633.511049253902
01/2006,30268.650053030906
02/2006,30496.41004317499
03/2006,30571.076726886804
04/2006,30505.05050800229
05/2006,29290.920047524054
06/2006,29294.29542849905
07/2006,29429.419703430678
08/2006,29654.956358745774
09/2006,29951.706269407932
10/2006,30731.11942122421
11/2006,30752.60740809915
12/2006,31127.55323331949
01/2007,31883.180501033603
02/2007,31573.738195184378
03/2007,31725.97229791675
04/2007,31998.12704942024
05/2007,32615.333721439034
06/2007,32037.523313533122
07/2007,31353.220958994953
08/2007,31519.00101535442
09/2007,32015.787212346993
10/2007,32445.101351663983
11/2007,31307.90148752473
12/2007,31442.065427852012
01/2008,30481.086284267367
02/2008,30191.396471709093
03/2008,29054.455378409803
04/2008,29791.79413209752
05/2008,30175.124835444243
06/2008,29014.851286421257
07/2008,28843.417487949355
08/2008,29792.104287008115
09/2008,28822.925467309655
10/2008,27624.277825666853
11/2008,27514.517021942644
12/2008,26689.92391363359
01/2009,26837.527863701303
02/2009,25508.981394089893
03/2009,25457.515373360664
04/2009,26843.342343839628
05/2009,26991.66098506876
06/2009,26903.504853685303
07/2009,28286.468040864547
08/2009,28840.447190526582
09/2009,29303.347274397005
10/2009,28587.635226629114
11/2009,29441.074508685317
12/2009,30520.47311076732
01/2010,30415.605699677275
02/2010,31682.007749410128
03/2010,32991.443144170735
04/2010,33865.116455322255
05/2010,34286.53801618914
06/2010,33878.919283133175
07/2010,33537.87230410669
08/2010,33958.62326994572
09/2010,34104.00437148556
10/2010,34547.76063236801
11/2010,36170.533066693126
12/2010,36695.90702489899
01/2011,35882.092599959724
02/2011,36596.93767177331
03/2011,36169.63594490086
04/2011,36220.015214595536
05/2011,37023.91271535144
06/2011,36545.87865942267
07/2011,36911.742828404495
08/2011,36301.7760051032
09/2011,36521.9224216069
10/2011,37215.48402072428
11/2011,38258.863159686225
12/2011,39428.21254910922
01/2012,39916.45434092874
02/2012,40218.53087389577
03/2012,40657.4981186533
04/2012,41115.88040104716
05/2012,41583.813005602344
06/2012,42227.131754275426
07/2012,43520.88210033248
08/2012,43174.6464920063
09/2012,43295.55973867138
10/2012,42656.347308166834
11/2012,42965.367971376865
12/2012,42364.15241296919
01/2013,42755.253117974804
02/2013,44084.18661142934
03/2013,46306.60548738104
04/2013,46130.53419367878
05/2013,45424.876315765265
06/2013,44514.96372904379
07/2013,45517.91332963611
08/2013,44889.411978601944
09/2013,45516.74261375196
10/2013,46277.52075802196
11/2013,46632.06381346031
12/2013,46382.90955093607
01/2014,46629.96385490431
02/2014,47550.88148953789
03/2014,47381.89499661311
04/2014,47268.96251674184
05/2014,48430.95359871922
06/2014,49281.04665557959
07/2014,49278.80950471612
08/2014,50993.73607956183
09/2014,51442.06644397306
10/2014,52262.4013029607
11/2014,53304.18075279522
12/2014,54470.180334860735
01/2015,57845.90200824363
02/2015,59290.47266592848
03/2015,61027.11804540806
04/2015,59159.177387797674
05/2015,60320.387384837595
06/2015,58437.6214770224
07/2015,59876.92448758327
08/2015,57091.690282435666
09/2015,56128.25460544874
10/2015,59176.0009093083
11/2015,60478.09221485771
12/2015,58900.14373780299
01/2016,58080.09954064543
02/2016,59357.15155953727
03/2016,59733.86723070929
04/2016,60262.68859701409
05/2016,61116.26704864901
06/2016,63297.90601795787
07/2016,64448.11448319421
08/2016,63311.76277255018
09/2016,63379.0603577328
10/2016,62402.48153620022
11/2016,63503.78230685227
12/2016,64593.21084180294
01/2017,64632.1824131046
02/2017,66696.75009136226
03/2017,66446.97255068948
04/2017,66060.15915738283
05/2017,65804.39033108701
06/2017,64899.093091779614
07/2017,64621.247832776586
08/2017,64815.05690099925
09/2017,65426.69719745271
10/2017,67087.6371483657
11/2017,67288.70001336797
12/2017,66889.2252410857
01/2018,66990.6093949781
02/2018,66359.48949845665
03/2018,65714.95798483105
04/2018,66689.19146624662
05/2018,69029.8167077956
06/2018,69074.88299654881
07/2018,69581.03910817724
08/2018,71061.38974297931
09/2018,71361.50933316122
10/2018,69142.84569766076
11/2018,69913.67467790039
12/2018,66949.06831277662
01/2019,69841.88787301573
02/2019,71470.98496275453
03/2019,73051.6889375521
04/2019,73982.8850710466
