Date,Backtest 50
10/2008,26107.506723996692
11/2008,26102.50426701947
12/2008,25608.922827884584
01/2009,25619.944862229524
02/2009,24569.815199211167
03/2009,24727.62419929584
04/2009,26088.160158361592
05/2009,26310.654610838283
06/2009,26158.82164063358
07/2009,27423.354526043608
08/2009,28015.29313999599
09/2009,28452.659383428607
10/2009,27887.806183264842
11/2009,28662.39903890904
12/2009,29628.45785571285
01/2010,29471.84598056615
02/2010,30571.585750164028
03/2010,31851.445643521725
04/2010,32684.07040125732
05/2010,32882.23573610879
06/2010,32274.314929564473
07/2010,32185.901882592596
08/2010,32342.28543332441
09/2010,32679.44966617788
10/2010,33105.79073324781
11/2010,34460.861980030575
12/2010,35060.292601060064
01/2011,34526.07328524893
02/2011,35187.626686108044
03/2011,34740.09106123203
04/2011,34801.97266632814
05/2011,35303.99207963154
06/2011,34855.1067189948
07/2011,35176.21793673053
08/2011,34386.97952146381
09/2011,34162.94126627545
10/2011,35099.913597570994
11/2011,35833.35536431896
12/2011,36628.19394204028
01/2012,37434.188996693956
02/2012,37880.41327347624
03/2012,38167.36022260954
04/2012,38389.76862137858
05/2012,38462.869511531266
06/2012,39008.19498257278
07/2012,39983.9900591276
08/2012,39893.38904493941
09/2012,40132.48048435071
10/2012,39635.91605726851
11/2012,40032.174190515405
12/2012,39779.114427727356
01/2013,40099.40482386746
02/2013,40962.99334704777
03/2013,42524.068738039845
04/2013,42372.72752015889
05/2013,42226.892681926525
06/2013,41191.96208005408
07/2013,42246.51433103884
08/2013,41810.71723669359
09/2013,42477.39341636847
10/2013,43160.01914090733
11/2013,43611.100506173185
12/2013,43484.094705584765
01/2014,43730.82805929052
02/2014,44594.70201564718
03/2014,44382.15417466161
04/2014,44262.58356202638
05/2014,45249.65128567518
06/2014,46011.14700996192
07/2014,45956.41193514863
08/2014,47336.656593438485
09/2014,47587.36342290734
10/2014,48013.10900530903
11/2014,48882.958966190265
12/2014,49767.96488801928
01/2015,52200.01914230589
02/2015,53535.00236732661
03/2015,54839.815363170674
04/2015,53435.63473924255
05/2015,54404.313162137325
06/2015,52825.33666850968
07/2015,53749.723391312524
08/2015,51380.87547769574
09/2015,50403.62714769463
10/2015,52923.821817164586
11/2015,53961.42495801739
12/2015,52404.199353092845
01/2016,51499.198214398944
02/2016,52357.96447166128
03/2016,52763.532457669746
04/2016,53240.90295569649
05/2016,53940.159661422185
06/2016,55205.91245762134
07/2016,56334.47475091338
08/2016,55818.485261151596
09/2016,55907.299392761815
10/2016,55192.336496677075
11/2016,56268.43482790049
12/2016,57095.73086512056
01/2017,57119.83654572729
02/2017,58679.48161244915
03/2017,58514.05406294747
04/2017,58305.269963677
05/2017,57960.4397332685
06/2017,57358.874833586626
07/2017,57192.789986987096
08/2017,57318.39207907963
09/2017,57978.35282371347
10/2017,59284.19890883635
11/2017,59359.07629198273
12/2017,59193.75983220959
01/2018,59426.11684466081
02/2018,58904.68650107749
03/2018,58283.58590964276
04/2018,59092.15201472544
05/2018,60955.88168568212
06/2018,60885.88263192667
07/2018,61177.06221925802
08/2018,62222.949205208264
09/2018,62255.55700546937
10/2018,60226.67646509818
11/2018,60593.51785538627
12/2018,58288.400529223116
01/2019,60815.871656896845
02/2019,61973.64671512368
03/2019,63112.685537847894
04/2019,64093.331103417615
05/2019,62803.39052877522
06/2019,64912.67095968225
07/2019,66164.51008241701
08/2019,67044.04188068568
09/2019,67666.50567019342
10/2019,67257.6449118531
11/2019,68424.98777235736
12/2019,68583.38531881926
01/2020,69843.68462303584
02/2020,67680.63593063885
03/2020,62767.050256092814
04/2020,66888.05547870314
05/2020,67621.12796533252
06/2020,68778.44834163363
07/2020,69193.2329510753
08/2020,70762.27985337927
09/2020,70199.3272060472
10/2020,69546.0321534393
11/2020,72355.65286068287
12/2020,73650.17325145772
01/2021,74333.06661894568
02/2021,74451.32382244468
03/2021,77393.01861243327
04/2021,77906.17504989715
05/2021,78289.32492742268
06/2021,79842.40542176508
07/2021,80791.48125391886
08/2021,82119.590262529
09/2021,81260.9582786519
10/2021,83621.5802367677
11/2021,84573.01059044115
12/2021,85674.17057925262
01/2022,83483.45180667451
02/2022,82849.12014950674
03/2022,83779.29191559099
04/2022,82110.71356015792
05/2022,80644.28228904458
06/2022,78168.91741430883
07/2022,82876.8439433363
08/2022,81274.01826102461
09/2022,77740.4012526383
10/2022,79932.53080385448
11/2022,80701.23302305122
12/2022,76805.73192635734
01/2023,79209.41931229673
02/2023,78340.5047269873
03/2023,78261.53550890455
04/2023,77972.49078343746
05/2023,78435.52487153579
06/2023,79351.98557682574
07/2023,80194.39181203052
08/2023,79846.91883228799
09/2023,78618.5423062506
10/2023,77466.26732046934
11/2023,80258.03366303041
12/2023,83447.95995581648
01/2024,84985.06330145207
02/2024,87151.14286936319
03/2024,89953.96427314516
04/2024,87983.45047467087
05/2024,89637.97449379705
06/2024,91494.42989399881
07/2024,93096.59084315604
08/2024,92889.39734080467
09/2024,93877.44253222128
