Date,Backtest 60 min vol
03/2010,32126.671616334745
04/2010,32918.12942161094
05/2010,33368.74940278496
06/2010,33069.56831154114
07/2010,32694.495376294355
08/2010,33192.81717493068
09/2010,33259.97870875978
10/2010,33670.821072376144
11/2010,35188.24427917641
12/2010,35667.818178084985
01/2011,34859.69211439826
02/2011,35533.53672606233
03/2011,35103.50216553945
04/2011,35162.694320114075
05/2011,35981.10315136704
06/2011,35523.760642895155
07/2011,35901.282074363946
08/2011,35394.71511905206
09/2011,35676.52269347384
10/2011,36276.793369654195
11/2011,37282.66890904025
12/2011,38439.91131843465
01/2012,38866.80974225904
02/2012,39133.69792729688
03/2012,39544.2393899023
04/2012,40006.13269276256
05/2012,40486.46974805884
06/2012,41116.31717929524
07/2012,42411.18990159866
08/2012,42041.001277487565
09/2012,42142.17832668478
10/2012,41529.388927717395
11/2012,41807.59492295675
12/2012,41182.77276427774
01/2013,41544.80909677867
02/2013,42857.01981164985
03/2013,45024.65349071751
04/2013,44877.67355520978
05/2013,44068.345568031276
06/2013,43182.08789813273
07/2013,44118.03248968828
08/2013,43520.30361139786
09/2013,44078.83374413614
10/2013,44817.80974040867
11/2013,45103.96105095566
12/2013,44826.12147365461
01/2014,45069.344515959594
02/2014,45936.12276577969
03/2014,45808.23594639585
04/2014,45751.82435392986
05/2014,46862.914246983724
06/2014,47655.38217889833
07/2014,47697.664644638855
08/2014,49339.17476714769
09/2014,49809.50988426099
10/2014,50616.31694751258
11/2014,51633.44709287537
12/2014,52751.46246990129
01/2015,56101.81545615043
02/2015,57439.00612951213
03/2015,59106.24051756477
04/2015,57332.920805770686
05/2015,58409.71601464476
06/2015,56572.102803425456
07/2015,58034.329432765444
08/2015,55365.558859247554
09/2015,54500.77081302096
10/2015,57450.34949958116
11/2015,58668.633103834756
12/2015,57223.932864161165
01/2016,56520.060548965885
02/2016,57802.306314063775
03/2016,58127.424719059345
04/2016,58625.78932262279
05/2016,59429.93548614391
06/2016,61625.88683209606
07/2016,62699.58449218329
08/2016,61542.05139105625
09/2016,61594.32043302962
10/2016,60647.49063931439
11/2016,61529.82271575327
12/2016,62585.97090411891
01/2017,62617.51151250438
02/2017,64655.75641861306
03/2017,64410.14152057888
04/2017,64037.57205118763
05/2017,63842.08716243998
06/2017,62915.75441944515
07/2017,62642.809303910806
08/2017,62856.09298823621
09/2017,63350.627408749126
10/2017,64926.29583781923
11/2017,65132.83649814315
12/2017,64736.24609149741
01/2018,64785.42027406153
02/2018,64159.34173364109
03/2018,63566.952664183
04/2018,64483.50821344415
05/2018,66646.91292703793
06/2018,66697.34992810225
07/2018,67210.90614827634
08/2018,68582.5717084872
09/2018,68920.64849760456
10/2018,66929.74044096928
11/2018,67718.07947343751
12/2018,64970.683188571114
01/2019,67675.22937882706
02/2019,69231.75975096182
03/2019,70822.38753912837
04/2019,71652.99152534129
05/2019,70880.14157190466
06/2019,73098.00679506015
07/2019,74653.03067719286
08/2019,76311.96584955345
09/2019,77024.8621975247
10/2019,76218.92988438097
11/2019,77391.75953648405
12/2019,77340.97792643894
01/2020,79417.69541685801
02/2020,76359.61439509629
03/2020,70769.64789011168
04/2020,75463.04381705934
05/2020,76060.57896496737
06/2020,76894.23917925714
07/2020,77099.40159952184
08/2020,78502.9104221263
09/2020,78127.89726400975
10/2020,77066.3610990892
11/2020,79562.6131646999
12/2020,80558.76633942794
01/2021,81061.97197760116
02/2021,80396.3946757103
03/2021,84233.53889096584
04/2021,84654.69772802529
05/2021,85135.10655079037
06/2021,86904.32566827012
07/2021,88261.48025784775
08/2021,89781.18482676553
09/2021,88568.28679473943
10/2021,90921.65387312723
11/2021,91822.10618242185
12/2021,93956.07084834781
01/2022,91117.86954324694
02/2022,90406.69774958964
03/2022,92550.93766940381
04/2022,91411.71013701189
05/2022,89514.33892080416
06/2022,87599.13413889936
07/2022,92106.25675977283
08/2022,90753.8012446213
09/2022,87149.92476664807
10/2022,89797.20288506555
11/2022,90613.40290345781
12/2022,86616.67612160342
01/2023,88179.59797171698
02/2023,86927.02504071988
03/2023,87123.6464813539
04/2023,87268.85386935498
05/2023,86990.42298822427
06/2023,87726.32844763409
07/2023,88268.79703308232
08/2023,88071.74856709776
09/2023,87095.34512706232
10/2023,86118.36164407928
11/2023,88594.01370534913
12/2023,91432.04296241078
01/2024,93857.37435582315
02/2024,95923.49188423748
03/2024,99019.28187407284
04/2024,96856.15776534606
05/2024,98387.03220387708
06/2024,100295.50071894002
07/2024,102561.91991756712
08/2024,103102.5820421379
09/2024,103681.23563267736
